Question,Type,Image,Option A,Option B,Option C,Option D,Answer,Unnamed: 8
What is the German word for 'I'?,MCQ,,Sie,Ich,Du,Er,B,
What does 'du' mean in English?,MCQ,,They,He,You (informal),We,C,
Which is the German pronoun for 'she'?,MCQ,,Er,Es,Sie,Ihr,C,
What is the German number for 'three'?,MCQ,,Eins,Zwei,Drei,Vier,C,
Which pronoun would you use for 'we' in German?,MCQ,,Ihr,Sie,Wir,Du,C,
What is the correct German translation for the number 'seven'?,MCQ,,Sechs,Sieben,Acht,Fünf,B,
What is the German word for the number 'ten'?,MCQ,,Zehn,Elf,Neun,Acht,A,
What is the German word for 'you' (formal)?,MCQ,,du,ihr,Sie,es,C,
What is the German number for 'five'?,MCQ,,Vier,Fünf,Sechs,Sieben,B,
Which German pronoun means 'they'?,MCQ,,Er,Sie,Ihr,Du,B,
What is the German word for the number 'eight'?,MCQ,,Sieben,Neun,Zehn,Acht,D,
Which German number is 'vier'?,MCQ,,4,6,3,2,A,
What is the German word for 'he'?,MCQ,,Sie,Es,Er,Wir,C,
What is the German number for 'nine'?,MCQ,,Neun,Zehn,Elf,Sieben,A,
What does the pronoun 'es' refer to?,MCQ,,She,It,You,They,B,
Which sentence correctly uses the pronoun 'wir'?,MCQ,,Wir geht zur Schule.,Wir gehe zur Schule.,Wir gehen zur Schule.,Wir geht zur Schulen.,C,
Which of the following is the correct translation for 'They are playing'?,MCQ,,Sie spielt,Sie spielen,Du spielst,Wir spielt,B,
What is the correct plural of 'eins' (one) when counting?,MCQ,,eins,eine,ein,There is no plural,D,
Which sentence is grammatically correct?,MCQ,,Du sind mein Freund.,Ich bist glücklich.,Er ist mein Bruder.,Wir ist Lehrer.,C,
Choose the correct conjugation of 'sein' (to be) for 'du':,MCQ,,bist,ist,sind,seid,A,
Which German number is spelled correctly?,MCQ,,Zwölf,Zweölf,Zwöllf,Zwolff,A,
Which pronoun would replace 'Hans und ich'?,MCQ,,Sie,Wir,Ihr,Du,B,
What is the correct German sentence for 'You (formal) are a teacher'?,MCQ,,Du bist ein Lehrer.,Ihr seid ein Lehrer.,Sie sind ein Lehrer.,Sie bist ein Lehrer.,C,
What is the German word for telephone?,MCQ,,der Föhn,das Telefon,der Zug,das Boot,B,
What is the German word for vacuum cleaner?,MCQ,,der Staubsauger,der Stecker,die Lampe,das Auto,A,
What is the German word for plug socket?,MCQ,,die Steckdose,das Bügeleisen,das Segelboot,das Telefon,A,
What is the German word for light bulb?,MCQ,,der Schalter,die Glühbirne,das Eisen,der Föhn,B,
What is the German word for hair dryer?,MCQ,,der Staubsauger,der Föhn,der Zug,die Glühbirne,B,
What is the German word for iron?,MCQ,,das Bügeleisen,das Telefon,das Boot,der Stecker,A,
What is the German word for airplane?,MCQ,,das Auto,das Flugzeug,der Föhn,das Eisen,B,
What is the German word for sailing boat?,MCQ,,das Segelboot,der Staubsauger,das Telefon,das Auto,A,
What is the German word for train?,MCQ,,das Flugzeug,der Zug,das Auto,der Föhn,B,
What is the German word for car?,MCQ,,der Staubsauger,das Auto,die Glühbirne,das Eisen,B,
What is the German word for spring?,MCQ,,der Frühling,der Herbst,der Winter,der Sommer,A,
What is the German word for summer?,MCQ,,der Sommer,der Frühling,der Herbst,der Winter,A,
What is the German word for autumn?,MCQ,,der Herbst,der Sommer,der Frühling,der Winter,A,
What is the German word for winter?,MCQ,,der Winter,der Frühling,der Herbst,der Sommer,A,
What is the German word for carrot?,MCQ,,die Kartoffel,die Karotte,die Tomate,die Zwiebel,B,
What is the German word for potato?,MCQ,,die Zwiebel,die Karotte,die Tomate,die Tomate,A,
What is the German word for tomato?,MCQ,,die Karotte,die Tomate,die Zwiebel,die Kartoffel,B,
What is the German word for onion?,MCQ,,die Tomate,die Zwiebel,die Kartoffel,die Karotte,B,
"What is the correct form of ""I am"" in German?",MCQ,,Ich bist,Ich sind,Ich bin,Ich seid,C,
"What is the correct form of ""You are"" (du) in German?",MCQ,,Du bist,Du bin,Du sind,Du ist,A,
"What is the correct form of ""He is"" in German?",MCQ,,Er sind,Er bist,Er ist,Er bin,C,
"What is the correct form of ""We are"" in German?",MCQ,,Wir seid,Wir sind,Wir bist,Wir ist,B,
"What is the correct form of ""You are"" (plural)?",MCQ,,Ihr seid,Ihr sind,Ihr bist,Ihr ist,A,
"What is the correct form of ""They are"" in German?",MCQ,,Sie sind,Sie seid,Sie ist,Sie bin,A,
"How do you say ""I have"" in German?",MCQ,,Ich hast,Ich habe,Ich hat,Ich haben,B,
"What is ""You have"" (du) in German?",MCQ,,Du hast,Du habe,Du hat,Du haben,A,
"What is ""He has"" in German?",MCQ,,Er haben,Er habe,Er hat,Er hast,C,
"What is ""We have"" in German?",MCQ,,Wir habt,Wir haben,Wir hat,Wir hast,B,
"What is ""You (plural) have"" in German?",MCQ,,Ihr haben,Ihr habt,Ihr hat,Ihr hast,B,
"What is ""They have"" in German?",MCQ,,Sie habt,Sie hat,Sie haben,Sie hast,C,
_____ heißt du?,MCQ,,Wer,Wie,Wo,Was,B,
_____ ist das?,MCQ,,Wer,Wie,Wo,Was,D,
_____ wohnst du?,MCQ,,Was,Wie,Wo,Wer,C,
_____ kommst du zur Schule?,MCQ,,Wo,Wie,Wann,Warum,C,
_____ lernst du Deutsch?,MCQ,,Warum,Wer,Wann,Wie,A,
_____ ist dein Lehrer?,MCQ,,Wer,Wo,Was,Wie,A,
Wo _____ ihr? (to live),MCQ,,wohnen,wohnt,wohnst,wohne,A,
Wann _____ er? (to arrive),MCQ,,kommt,komme,kommst,kommen,A,
Wie _____ sie? (to go),MCQ,,geht,gehst,gehe,gehen,A,
Warum _____ du so traurig? (to be),MCQ,,bist,bin,seid,ist,A,
Woher _____ du? (to come from),MCQ,,kommst,komme,kommt,kommen,A,
_____ macht ihr da?,MCQ,,Was,Wer,Wie,Wann,A,
How many letters are there in the German alphabet?,MCQ,,24,26,28,30,B,
Which German diacritical mark is used to modify the pronunciation of vowels?,MCQ,,"Umlaut (ä, ö, ü)",Accent aigu (é),Cedilla (ç),Eszett (ß),A,
How many grammatical cases are there in German?,MCQ,,2,3,4,5,C,
Which of the following is a German word for “thank you”?,MCQ,,Danke,Guten Tag,Auf Wiedersehen,Bitte,A,
How do you say “goodbye” in German?,MCQ,,Guten Morgen,Tschüss,Bitte,Auf Wiedersehen,D,
How many verb tenses are there in German?,MCQ,,4,6,8,10,B,
What is the German term for a question mark?,MCQ,,Punkt,Komma,Fragezeichen,Semikolon,C,
What is the German term for “breakfast”?,MCQ,,Abendessen,Mittagessen,Frühstück,Nachmittagstee,C,
"Match the following English numbers with their correct German translations:

Two

Five

Seven

Nine

Ten",MCQ,,"1–eins, 2–sechs, 3–acht, 4–neun, 5–zehn","1–zwei, 2–fünf, 3–sieben, 4–neun, 5–zehn","1–drei, 2–vier, 3–sieben, 4–acht, 5–zehn","1–zwei, 2–vier, 3–acht, 4–neun, 5–elf",B,
Match the following.,MCQ,images/Picture1.jpg,"B – 1, C-5, D-2, E-4","B – 4, C-1, D-5, E-2"," B – 5, C-2, D-1, E-4","B – 2, C-4, D-5, E-1",B,
Write the capital of France,Text,,,,,,Paris,
Word for this,Text,images/a1.png,,,,,Frühling,
summer,Text,images/a2.png,,,,,Sommer,
Word for this,Text,images/a3.png,,,,,Herbst,
Word for this,Text,images/a4.png,,,,,Winter,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Sunday"".",Text,,,,,,der Sonntag,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Monday"".",Text,,,,,,der Montag,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Tuesday "".",Text,,,,,,der Dienstag,
"Write the correct German names for the given days of the week, including the definite article ""der"" for ""Wednesday  "".",Text,,,,,,der Mittwoch,
